※入力規則,入力用_アニメ項目マスタの子レコード（シリーズ）のIDを記載,,,,,,劇中歌があれば記載,劇中歌があれば記載,,"特記事項：
スナックバス江（エピソードごとにED異なる）"
,29836,2,Awich,Frontiers,CVLTE,realitYhurts.,,,,
,29863,1,Void_Chords feat. MindaRyn,Unending Wish,DOBERMAN INFINITY,The other story,,,,
,29888,1,SPYAIR,青,"THE JET BOY BANGERZ
from EXILE TRIBE",UNBREAKABLE,,,,
,29915,1,大西亜玖璃,アウフタクト,諏訪ななか,春待歌,,,,
,29929,1,KOHTA YAMAMOTO feat. SAIKI,Tactics,KOHTA YAMAMOTO feat. AAAMYYY,Liberation,,,,
,29943,1,MADKID,Chaser,牧島 輝,Phoenix,,,,
,29956,1,名無し之太郎,風化,LEEVELLES,幸福のすゝめ,,,,
,29148,1,,プリズムフレア,,,,,,
,29215,1,Liella!,,Liella!,,,,,
,29228,1,,,八尋寧々（CV:鬼頭明里）＆もっけ（CV:吉田有里・森永千才・金澤まい）,来い！濃い恋,,,,
,28253,2,そらる,ツギハギの翼,"天乃リリサ(CV:前田佳織里)、橘美花莉(CV:鬼頭明里)、
ノノア(CV:鈴代紗弓)、喜咲アリア(CV:渡部紗弓）",Release Sigh,,,,
,28489,2,Stray Kids,NIGHT,Stray Kids,,,,,
,29990,1,中野家の五つ子(花澤香菜、竹達彩奈、伊藤美来、佐倉綾音、水瀬いのり),五等分の気持ち,内田彩,Sign,,,,
,30003,1,中野家の五つ子(花澤香菜、竹達彩奈、伊藤美来、佐倉綾音、水瀬いのり),五等分のカタチ,中野家の五つ子(花澤香菜、竹達彩奈、伊藤美来、佐倉綾音、水瀬いのり),はつこい,,,,
,29518,1,,,sanetii,寵愛族,,,,
,30078,1,MORISAKI WIN,ネバネバ,ジオ（松田颯水）×ダイヤ（小松未可子）,survival dAnce,,,,
,30091,1,地縛少年バンド,No.7,鬼頭明里,Tiny Light,,,,
,28141,2,Travis Japan,Fly Higher,相羽あいな,REASONS,,,,
,30706,1,Tom-H@ck featuring 大石昌良,Go EXCEED!!,日笠陽子,Seek Diamonds,,,,
,30782,1,GLAY,HEROES,OxT,KIMERO!!,,,,
,30834,1,Official髭男dism,Cry Baby,eill,ここで息をして,,,,
,30834,2,Official髭男dism,Cry Baby,トーキョーワンダー。,泣き虫,,,,
,30885,1,鈴木このみ,アルカテイル,鈴木このみ,Lasting Moment,,,,
,31048,1,石原夏織,Cherish,内田真礼,聴こえる？,,,,
,28814,2,STEREO DIVE FOUNDATION,KATAWARA,Rainy。,万里一空,,,,
,29970,1,BPM15Q,Across Universe,,,,,,
,31172,1,HY,大大大好き,,,,,,
,31288,1,大渕野々花,最上級の心,,,,,,
,31302,1,F/ACE,Eyes On You,,,,,,
,31728,1,零,Enter,田中有紀,Treasure Chest,,,,
,30574,1,牧島 輝,Cuz I,内田 彩,Explosive Heart,,,,
,31496,1,佐々木李子,Palette Days,樋口楓、叶,Yummy Yummy,,,,
,31456,1,前橋ウィッチーズ,スゴすぎ前橋ウィッチーズ！,,,,,,
,31330,1,梶浦由記,starting the case: Rail Zeppelin,ASCA,雲雀,,,,
,31233,1,東山奈央,灯火のまにまに,沼倉愛美,彩 -color-,大旦那,願い花,,
,31233,2,ナノ,ウツシヨノユメ,中島愛,知らない気持ち,葉鳥,ヤシホノハナ,,
,30172,1,Aimer,SCOPE,ゴスペラーズ,will be fine feat. Anly,,,,
,31143,1,XIIX,煌めき,ハンブレッダーズ,夜明けの歌,,,,
,30466,1,DIALOGUE+,TREASURE！,harmoe,トゥインクル・デイズ,,,,
,31102,1,幾田りら,百花繚乱,平井 大,幸せのレシピ,,,,
,32001,1,井口裕香,Hey World,分島花音,RIGHT LIGHT RISE,,,,
,32015,1,井口裕香,HELLO to DREAM,sora tob sakana,ささやかな祝祭,,,,
,32028,1,井口裕香,over and over,sajou no hana,Evergreen,,,,
,32041,1,SawanoHiroyuki[nZk]：Uru,Binary Star,ELISA,WISH,,,,
,32054,1,SawanoHiroyuki[nZk]：Uru,Binary Star,SawanoHiroyuki[nZk]：Anly,Tranquility,,,,
,32067,1,SennaRin,dust,SennaRin,melt,,,,
,32108,1,櫻川めぐ,はよ、New World.,,,,,,
,32236,1,発条月亮,時空の隙,陳泽偉,風を追う,,,,
,32250,1,渡部 沙智子,未来の昔ばなし,渡部 沙智子,アサティール 〜未来の星空〜,,,,
,32387,1,JAM Project,THE HERO !! ～怒れる拳に火をつけろ～,森口博子,星より先に見つけてあげる,,,,
,32400,1,JAM Project,静寂のアポストル,古川慎,地図が無くても戻るから,,,,
,33929,2,芹澤 優,ROCK ME KISS ME feat. MOTSU,Himika Akaneya,Side U (Prod. AmPm),,,,
,32121,1,喜多修平,一斉の声,中孝介,夏夕空,,,,
,32135,2,LONG SHOT PARTY,あの日タイムマシン,高鈴,愛してる,,,,
,32149,3,HOW MERRY,僕にできること,中孝介,君ノカケラ feat 宮本笑里,,,,
,32163,4,ひいらぎ,今、このとき。,河野マリナ,たからもの,,,,
,32177,5,ササノマリイ,タカラバコ,Aimer,茜さす,,,,
,32189,6,佐香 智久,フローリア,安田レイ,きみのうた,,,,
,32202,1,,,"芹澤 優, メロディー・チューバック & Yonca",Cryptogram,,,,
,32210,1,SG,LUCID DREAM,杉本 琢弥,IとU,,,,
,32373,1,アーリオ・オーリオ・エ・ペペロンチーノ×雪花ラミィ,ブレイブリーダンス,TrySail,そんな僕らの冒険譚!,,,,
,32471,1,鈴木このみ,Redo,MYTH & ROID,STYX HELIX,,,,
,32471,2,MYTH & ROID,Paradisus-Paradoxum,エミリア(CV：高橋李依),Stay Alive,,,,
,32497,1,鈴木このみ,Realize,nonoc,Memento,,,,
,32497,2,前島麻由,Long shot,nonoc,Believe in you,,,,
,32538,1,木戸慎太郎(CV.五日天峰),戀情カメリア,,,,,,
,30214,1,BLUE ENCOUNT,Bloody Liar,ぼっちぼろまる,NE-CHU-SHOW,,,,
,32569,1,クリープハイプ,星にでも願ってろ,,,,,,
,32665,1,SawanoHiroyuki[nZk]:Laco,FAKEit,,,,,,
,32334,1,ASIAN KUNG-FU GENERATION,ライフ イズ ビューティフル,そこに鳴る,miss-dystopia,,,,
,32730,3,imase,エトセトラ,伊藤ゴロー,ケ・セラ・セラ,,,,
,32750,1,北川 理恵,Dokkin♢魔法つかいプリキュア！,キュアミラクル(高橋 李依)、キュアマジカル(堀江 由衣),CURE UP↑RA♡PA☆PA!～ほほえみになる魔法～,,,,
,32750,2,北川 理恵,Dokkin♢魔法つかいプリキュア！Part2,キュアミラクル(高橋 李依)、キュアマジカル(堀江 由衣)、キュアフェリーチェ（早見沙織）,魔法アラ・ドーモ！,,,,
,32802,1,AKINO from bless4・福山芳樹,創聖のアクエリオン Myth of Emotions Ver.,AKINO from bless4,告白,,,,
,32815,1,AKINO from bless4,創聖のアクエリオン,牧野由依,オムナ マグニ,,,,
,32815,2,AKINO from bless4,Go Tight!,牧野由依,オムナ マグニ,,,ED14話・25話は異なる楽曲,
,32842,1,AKINO from bless4,君の神話〜アクエリオン第二章,AKINO from bless4,月光シンフォニア,,,,
,32842,2,AKINO from bless4,パラドキシカルZOO,ユノハ・スルール（小倉唯）,ユノハノモリ,,,,
,32868,1,May'n,ヤマイダレdarlin',千菅春香,ジュ・ジュテーム・コミュニケーション,,,,
,32868,2,May'n,夜明けのロゴス,May'n featuring 千菅春香,本当の声をあなたに預けたくて,,,,
,32895,1,CIVILIAN,正解不正解,楠木ともり,ハミダシモノ,,,,
,32910,1,BLUE ENCOUNT,gifted,,,,,,
,32923,2,BLUE ENCOUNT,gifted,,,,,,
,32939,1,Kroi,Water Carrier,Tempalay,ドライブ・マイ・イデア,,,,
,32967,1,亜咲花,SHINY DAYS,佐々木恵梨,ふゆびより,,,,
,32954,1,MIYAVI,Running In My Head,満島ひかり,ロゼ (Prod.TeddyLoid),,,,
,32980,1,亜咲花,Seize The Day,佐々木恵梨,はるのとなり,,,,
,33004,1,Machico,fantastic dreamer,アクア（CV：雨宮天）、めぐみん（CV：高橋李依）、ダクネス（CV：茅野愛衣）,ちいさな冒険者,,,,
,33015,1,Machico,TOMORROW,アクア（CV：雨宮天）、めぐみん（CV：高橋李依）、ダクネス（CV：茅野愛衣）,おうちに帰りたい,,,,
,33050,3,kobasolo feat.こぴ,心まかせ,田中梨瑚,Myr,,,,
,33273,1,bicaso feat. Gen Kakon,Dive Back In Time,bicaso feat. EAERAN,OverThink,,,,
,33355,1,シド,モノクロのキス,BECCA,I'm ALIVE!,,,,
,33355,2,シド,モノクロのキス,Kalafina,Lacrimosa,,,,
,33380,1,the GazettE,SHIVER,松下優也,Bird,,,,
,33380,2,the GazettE,SHIVER,Kalafina,輝く空の静寂には,,,,
,33493,1,LiSA,Rising Hope,ELISA,ミレナリオ,,,,
,33493,2,GARNiDELiA,grilletto,安田レイ,Mirror,,,,
,33520,1,ASCA,Howling,佐藤ミキ,名もない花,,,,
,33534,1,三月のパンタシア,101,フィロソフィーのダンス,ダブル・スタンダード,,,,
,33548,1,八木 海莉,Ripe Aster,,,,,,
,33657,1,Raon,Hey! Bread Barbershop,Seo DaRam,Supa Dupa,,,,
,33567,1,sweet ARMS,デート・ア・ライブ,野水いおり,SAVE THE WORLD,,,,
,33580,1,sweet ARMS,Trust in you,佐土原かおり,Day to Story,,,,
,33697,1,大原ゆい子,旅人の唄,大原ゆい子,オンリー,,,,
,33697,2,大原ゆい子,継承の唄,大原ゆい子,風と行く道,,,,
,33591,1,sweet ARMS,I swear,山崎エリイ,Last Promise,,,,
,33604,1,富田美憂,OveR,sweet ARMS,S.O.S,,,,
,33721,1,寺島拓篤,Nameless Story,TRUE,Another colony,,,,
,33721,2,寺島拓篤,メグルモノ,田所あずさ,リトルソルジャー,TRUE,僕の中の君へ,,
,33746,1,TRUE,Storyteller,STEREO DIVE FOUNDATION,STORYSEEKER,TRUE,黎明,,
,33746,2,MindaRyn,Like Flames,寺島拓篤,Reincarnate,,,,
,33771,1,TRUE,DREAM SOLISTER,北宇治カルテット,トゥッティ！,,,,
,33785,1,TRUE,サウンドスケープ,北宇治カルテット,ヴィヴァーチェ！,,,,
,33800,1,大島ミチル,Bon Bon Bon,大島ミチル,Tears in the sky,,,,
,33813,1,大島ミチル,Bon Bon Bon,大島ミチル,Tears in the sky,,,,
,33839,1,Eve,廻廻奇譚,ALI,LOST IN PARADISE feat.AKLO,,,,
,33839,2,Who-ya Extended,VIVID VICE,Cö shu Nie,give it back,,,,
,29409,2,マカロニえんぴつ,然らば,TOMOO,コントラスト,,,,
,32305,1,millennium parade × 椎名林檎,Ｗ●ＲＫ,Uru,紙一重,,,,
,33943,1,harmoe,旅しよ！don't  you？,Sizuk,bookmarks,,,,
,33956,1,坊ちゃん（CV. 花江夏樹）＆アリス（CV. 真野あゆみ）,満月とシルエットの夜,アリス（CV. 真野あゆみ）,夜想曲,,,,
,33969,1,BOYS AND MEN,進化理論,村上佳佑,Go One Step Ahead,,,,
,33969,2,BOYS AND MEN,進化理論,村上佳佑,Go One Step Ahead,,,,
,33969,3,BOYS AND MEN,進化理論,TETSUYA,I WANNA BE WITH YOU,,,,
,33969,4,BOYS AND MEN,進化理論,SILENT SIREN,Go Way!,,,,
,33969,5,BOYS AND MEN,進化理論,天月-あまつき-,STARTRAiN,,,,
,33969,6,BOYS AND MEN,進化理論,ベリーグッドマン,スタートライン,,,,
,34046,1,BOYS AND MEN,ニューチャレンジャー,森中花咲meets▽▲TRINITY▲▽,キズナ・レール,,,,
,34046,2,BOYS AND MEN,ニューチャレンジャー,浦島坂田船,駆け上がるボルテージ,,,,
,34046,3,BOYS AND MEN,ニューチャレンジャー,Luce Twinkle Wink☆,ターミナル～僕ら、あるべき場所～,,,,
,34046,4,BOYS AND MEN,ニューチャレンジャー,KOTOKO,Fastest !,,,,
,34089,1,AA=,FIGHT & PRIDE,AA=,CRY BOY,,,,
,34105,1,夢ノ咲ドリームスターズ,Stars' Ensemble!,Trickstar,1st SING-ALONG☆,UNDEAD,IMMORAL WORLD,,
,34105,2,Trickstar,キセキ,流星隊,メテオ・スクランブル☆流星隊！,Switch,"Magic for your ""Switch""",,
,34139,1,The Newton Brothers,"X-Men '97 Theme (From ""X-Men '97"")",,,,,,
,34170,1,Hot Wheels Let's Race,Hot Wheels Let's Race Theme Song,,,,,,
,34373,1,ZAQ,カーストルーム,Minami,Beautiful Soldier,,,,
,34386,1,ZAQ,Dance In The Game,渕上舞,人芝居,,,,
,32277,1,amazarashi,痛覚,シユイ,オーバーラップ,,,,
,34440,1,sajou no hana,修羅に堕として,鈴木このみ,白花,,,,
,34453,1,Nothing's Carved In Stone,Pride,石田匠,Voice of Soul,,,,
,34453,2,Nothing's Carved In Stone,Pride,若井友希,Destiny Sky,,,,
,34453,3,Nothing's Carved In Stone,Pride,蛇足,Never Ending,,,,
,34492,1,D☆DATE,GLORY DAYS,The Sketchbook,21,,,,
,34492,2,D☆DATE,GLORY DAYS,The Sketchbook,Exit,,,,
,34492,3,D☆DATE,GLORY DAYS,The Sketchbook,そこに君がいる,,,,
,34532,1,BiSH,TOMORROW,waterweed,Deep inside,,,,
,34532,2,BiSH,STACKiNG,鈴木瑛美子,King,,,,
,34559,1,SUIREN,黎-ray-,珀,眩耀,,,,
,34559,2,zonji,geki,みさき,Believe,,,,
,34627,1,,G.P.,フレディ・マーキュリー,The Great Pretender,,,,
,34656,1,Linked Horizon,紅蓮の弓矢,日笠陽子,美しき残酷な世界,,,,
,34656,2,Linked Horizon,自由の翼,cinema staff,great escape,,,,
,34682,1,Linked Horizon,心臓を捧げよ！,神聖かまってちゃん	,夕暮れの鳥,,,,
,34695,1,YOSHIKI feat. HYDE,Red Swan,Linked Horizon,暁の鎮魂歌,,,,
,34695,2,Linked Horizon,憧憬と屍の道,cinema staff,Name of Love,,,,
,34718,1,BURNOUT SYNDROMES,Good Morning World!,Rude-α,LIFE,,,,
,34718,2,PELICAN FANCLUB,三原色,佐伯ユウスケ,夢のような,,,,
,34743,1,フジファブリック,楽園,はてな,声？,,,,
,34755,1,BURNOUT SYNDROMES,Good Morning［New］World!,,,,,,
,34767,1,MADKID,RISE,藤川千愛,きみの名前,,,,
,34767,2,MADKID,FAITH,藤川千愛,あたしが隣にいるうちに,,,,
,34793,1,MADKID,Bring Back,藤川千愛,ゆずれない,,,,
,34807,1,DIALOGUE+,人生イージー？,DIALOGUE+,あやふわアスタリスク,,,,
,34833,1,中田花奈 feat. ぽんのみちオールスターズ,ポンポポポン,halca,Good Luck Waker,,,,
,34846,1,syudou,ギャンブル,Ezoshika Gourmet Club,ビューティフル・ドリーマー,,,,
,34859,1,ゆいにしお,息を吸う ここで吸う 生きてく,JYOCHO,みんなおなじ,,,,
,34901,1,ネクライトーキー,bloom,,,,,,
,34910,1,いきものがかり,熱情のスペクトラム,FLOW×GRANRODEO,7 -seven-,,,,
,34910,2,MAN WITH A MISSION,Seven Deadly Sins,瀧川ありさ,Season,,,,
,34935,1,FLOW×GRANRODEO,Howling,Anly,Beautiful,,,,
,34935,2,スカイピース,雨が降るから虹が出る,雨宮天,誓い,,,,
,34960,1,UVERworld,ROB THE FRONTIER,雨宮天,Regeneration,,,,
,34960,2,シド,delete,足立佳奈,Good day,,,,
,34985,1,岡野昭仁,光あれ,SawanoHiroyuki[nZk]:ReoNa,time,,,,
,34985,2,雨宮天,永遠のAria,UVERworld,NAMELY,,,,
,35010,1,MUCC,CLASSIC,瀧川ありさ,色褪せない瞳,,,,
,35016,1,JUNNA,Here,糸奇はな,環-cycle-,,,,
,35016,2,May'n,You,AIKI & AKINO from bless4,月のもう半分,,,,
,35041,1,JUNNA,Dear,edda,無伴奏,,,,
,35041,2,JUNNA,眠らされたリネージュ,Iruma Rioka,fam,,,,
IDを記載→,35066,1,Mili,Rightfully,そらる,銀の祈誓,,,,
,35081,1,スピラ・スピカ,燦々デイズ,あかせあかり,恋ノ行方,スピラ・スピカ,君に伝えたいことがあるんだ,,
,29261,2,yama✕WurtS,BURN,ざらめ,ただひとつ,,,,
,30369,1,前島麻由,True Peak,sajou no hana,THE IOLITE,,,,
,31745,1,亜咲花,GIVE & TAKE,キミのね,あいくらふと,,,,
,31646,1,,,紫雲寺家の子供たち,LIKE YOU o(>< = ><)o LOVE YOU？,,,,
,35148,1,ONE OK ROCK,Prove,aespa,ZOOM ZOOM,,,,
,35148,2,L'Arc〜en〜Ciel,YOU GOTTA RUN,Perfume,Cosmic Treat,,,,
,35220,1,マネスキン,THE LONELIEST,,,,,,
,35244,1,いろはにほへっと あやふぶみ,雨トキメキ恋模様,前田佳織里,キュンアピ,,,,
,35286,1,葛葉,Black Crack,Nornis,salvia,,,,
,35300,1,,,LIBERA,永遠の絆,,,,
,35306,1,WANIMA,夏暁,WANIMA,FLY & DIVE,,,,
,35314,1,藤川千愛,1000年愛,果歩,ゆるり,,,,
,35541,1,,,てにをは × AVTechNO! feat. 初音ミク,怪々絵巻,,,,
,35555,1,,,梨本うい,四十九日目,,,,
,35569,1,,,The Mirraz,なぁ？なぁ？なぁ？,,,,
,35583,1,,,焚吐,夢負い人,,,,
,35597,1,,,ヒグチアイ,やわらかい仮面,,,,
,35611,1,,,奥村愛子,まやかし横丁,,,,
,35625,1,,,betcover!!,決壊,,,,
,35639,1,,,imai,Twilight feat.Pecori,,,,
,35653,1,,,おかもとえみ,fall,,,,
,35667,1,,,忘れらんねえよ,くだらねえな,,,,
,35681,1,,,MOSHIMO,飴と鞭,,,,
,35696,1,(K)NoW_NAME,Welcome トゥ 混沌,(K)NoW_NAME,Who am I ?,,,,
,32524,1,HoneyWorks feat.ハコニワリリィ,質問、恋って何でしょうか?,立花日菜,Dear my Soleil,,,,
,35864,1,凛として時雨,狐独の才望,ao,kioku,,,,
,35878,1,ネクライトーキー,ふざけてないぜ,麻倉もも,ピンキーフック,,,,
,35891,1,765PRO ALLSTARS,READY!!,765PRO ALLSTARS,The world is all one !!（リミックス）,,,,
,35917,1,CINDERELLA PROJECT,Star!!,new generations,メッセージ,,,,
,35917,2,CINDERELLA PROJECT,Shine!!,INDERELLA PROJECT,夢色ハーモニー,,,,
,35943,1,橋本みゆき,微熱S.O.S!!,Snow*,悠久の旅人〜Dear Boy,,,,
,35970,1,Division All Stars,ヒプノシスマイク -Rhyme Anima-,Buster Bros!!!,絆 -IKEBUKURO ver.-,,,,
,35984,1,H-el-ical//,The Sacred Torch,やなぎなぎ,標火,,,,
,35997,1,ジャニーズWEST,スタートダッシュ！,大空翼（三瓶由布子）他,燃えてヒーロー,,,,
,36051,1,,,STU48,月と僕と新しい自分,,,,
,36221,1,神山羊,色香水,フレンズ,約束,,,,
,36235,1,the peggies,センチメートル,halca,告白バンジージャンプ,雨宮天,君を通して,,
,36248,1,CHiCO with HoneyWorks,ヒミツ恋ゴコロ,MIMiNARI,言えない feat.asmi,,,,
,36261,1,Poppin’Party,ときめきエクスペリエンス！,Poppin’Party,キラキラだとか夢だとか 〜Sing Girls〜,,,,
,36275,1,Poppin’Party,キズナミュージック♪,Roselia,BRAVE JEWEL,,,,
,36289,1,Poppin'Party,イニシャル,Poppin'Party,夢を撃ち抜く瞬間に！,,,,
,36303,1,,,香澄（愛美）×蘭（佐倉綾音）×彩（前島亜美）×友希那（相羽あいな）×こころ（伊藤美来）,ピコっと！パピっと!!ガルパ☆ピコ!!!,,,,
,36330,1,,,香澄（愛美）×蘭（佐倉綾音）×彩（前島亜美）×友希那（相羽あいな）×こころ（伊藤美来）,大盛り一丁！ガルパ☆ピコ,,,,
,36357,1,,,香澄（愛美）✕蘭（佐倉綾音）✕彩（前島亜美）✕友希那（相羽あいな）✕こころ（伊藤美来）✕ましろ（進藤あまね）✕レイヤ（Raychell）,ピコたるもの、ふぃーばー！,,,,
,36384,1,,,Morfonica,flame of hope -instrumental-,Morfonica,"寄る辺のSunny, Sunny",,
,36400,1,石原夏織,Paraglider,夏川愛華,#夢は短し恋せよ乙女,,,,
,36413,1,大橋彩香,ワガママMIRROR HEART,ChouCho,Elemental World,,,,
,36426,1,,,FRAM,シアン・イノセンス,,,,
,36440,1,STEREO DIVE FOUNDATION,RAYTRACER,ARCANA PROJECT,ユリイカ,,,,
,36440,2,ARCANA PROJECT,アイレ,STEREO DIVE FOUNDATION,Drifters,,,,
,36466,1,GRANRODEO,Treasure Pleasure,GENERATIONS from EXILE TRIBE,Unchained World,,,,
,36479,1,和楽器バンド,The Beast,UPSTART（花村想太・ヒカル）,WILDER,,,,
,36493,1,SKY-HI,Sarracenia,BE:FIRST,Salvia,,,,
,36509,1,栗林みな実,ZERO!!,nano.RIPE,月花,nano.RIPE,スターチャート,,
,36523,1,栗林みな実,WITH,堀内まり菜,水鏡の世界,,,,
,36536,1,nano.RIPE,光のない街,Liyuu,bloomin',,,,
,36563,1,B-PROJECT（キタコレ、THRIVE、MooNs）,鼓動*アンビシャス,キタコレ,星と月のセンテンス,,,,
,36576,1,B-PROJECT（キタコレ、THRIVE、MooNs、KiLLER KiNG）,絶頂*エモーション,B-PROJECT,光と影の時結ぶ,,,,
,36589,1,Ayumi.,Wonderful Rail,,,,,,
,36603,1,マキシマム ザ ホルモン,KAMIGAMI-神噛-,島爺,不可避,,,,
,36616,1,美波,ルードルーズダンス,小野正利,祈,,,,
,36633,1,coldrain,Bloody Power Fame,Tielle,BLESSLESS,,,,
,36658,1,coldrain,NEW DAWN,Tielle,La Muse perdue,,,,
,36683,1,,,子ザメちゃん(CV:花澤香菜),子ザメダンス,,,,
,36744,1,Neko Hacker,進め！むじなカンパニー feat. 六科なじむ（日高里菜） & 割戸真友（金元寿子） & 軽井沢ユキ（上坂すみれ） & 出稼ぎガルシア（金子彩花）,割戸真友（金元寿子） feat. 小岩井ことり,会社に帰ろう！,,,,
,36758,1,Blank paper,enemy,富金原佑菜,You're my perfect mirror,,,,
,36758,2,富金原佑菜,Overload,Natumi.,pARTs,,,,
,36796,1,MAN WITH A MISSION,Winding Road,THE SIXTH LIE,Hibana,,,,
,36809,1,さユり & MY FIRST STORY,レイメイ,eastern youth,時計台の鐘,,,,
,36822,1,FOMARE,Grey,THE SIXTH LIE,融雪,,,,
,36848,1,μ's,僕らは今のなかで,高坂穂乃果（新田恵海）、南ことり（内田彩）、園田海未（三森すずこ）,きっと青春が聞こえる,,,,
,36862,1,μ's,それは僕たちの奇跡,絢瀬絵里（南條愛乃）、東條希（楠田亜衣奈）、矢澤にこ（徳井青空）,どんなときもずっと,,,,
,36876,1,Liella!,START!! True dreams,Liella!,未来は風のように,,,,
,36889,1,Liella!,WE WILL!!,Liella!,追いかける夢の先で,,,,
,36902,1,Aqours,青空Jumping Heart,高海千歌（伊波杏樹）、桜内梨子（逢田梨香子）、渡辺曜（斉藤朱夏）,ユメ語るよりユメ歌おう,,,,
,36916,1,Aqours,未来の僕らは知ってるよ,高海千歌（伊波杏樹）、桜内梨子（逢田梨香子）、渡辺曜（斉藤朱夏）,勇気はどこに?君の胸に!,,,,
,36930,1,虹ヶ咲学園スクールアイドル同好会,虹色Passions!,虹ヶ咲学園スクールアイドル同好会,"NEO SKY, NEO MAP!",,,,
,36944,1,虹ヶ咲学園スクールアイドル同好会,Colorful Dreams! Colorful Smiles!,虹ヶ咲学園スクールアイドル同好会,夢が僕らの太陽さ,,,,
,36959,1,ICEx志賀李玖,理想郷,CENT（セントチヒロ・チッチ）,百日草,,,,
,36972,1,Kis-My-Ft2,Meramera,青木陽菜,天色,,,,
,36986,1,BAND-MAID,Zen,Sou,ただ、君のままで,,,,
,36999,1,広瀬香美,Venus Line,月詠み,ヨダカ,Luiza,HONEY DAYS (GONE TOO SOON),,
,37014,1,山田孝之,JUMP,,,,,,
,37039,1,OLDCODEX,Core Fade,Void_Chords,my ID,,,,
,37053,1,NOILION,3,Void_Chords,Transcending Time,,,,
,37060,1,NOILION × MIYAVI,RAYS,Void_Chords,AVIATION,,,,
,37073,1,A応P,Another World,エルゼ（内田真礼）、リンゼ（福緒唯）、八重（赤﨑千夏）、スゥシィ（山下七海）、ユミナ（高野麻里佳）、リーン（上坂すみれ）,純情エモーショナル,,,,
,37086,1,和氣あず未,イツカノキオク,ユナ（河瀬茉希）,あのね。,,,,
,37099,1,Yunomi,恋のうた（feat.由崎司）,カノエラナ,月と星空,田中マイミ,Miracle Shopping〜ドン・キホーテのテーマ〜,,
,37112,1,sumika,イコール,Little Glee Monster,君に届くまで,,,,
,37112,2,ポルノグラフィティ,VS,Qyoto,君に伝えたストーリー,,,,
,32081,1,HoneyWorks feat.ハコニワリリィ,質問、恋って何でしょうか?,立花日菜,Dear my Soleil,,,,
,37137,1,buzz★Vibes,Calling U,渕上舞,予測不能Days,,,,
,37152,1,森久保祥太郎,LIGHT of JUSTICE,渕上舞,操り人形クーデター,,,,
,37164,1,森久保祥太郎,MOTIVE RAIN,渕上舞,終焉のDestiny,,,,
,37178,1,フレデリック,蜃気楼,佐伯ユウスケ,One Way,,,,
,37178,2,BRADIO,ソウル・ギャラクシー,王道遊飛（声 - 熊谷俊輝）と王道遊歩（声 - 福島香々）,One Way -Fresh Pop Rearrange-,,,,
,37178,3,オーイシマサヨシ,デュエルしようぜ！,向井太一,Cosmos,,,,
,37178,4,,,175R,旅立ちの唄,,,,
,37178,5,,,七瀬彩夏,STAR RUSH,,,,
,37178,6,,,七瀬彩夏,サヨナラにはならない,,,,
,37325,1,TrySail,はなれない距離,ハコニワリリィ,キョリ感,,,,
,37394,1,内田雄馬,シンギュラリスト,Gran★MyStar（ベートーヴェン・モーツァルト・ショパン・リスト／CV：内田雄馬・伊東健人・安部 瞬・石毛翔弥）,BEYOND★CLASSIC,,,,
,37407,1,石井あみ・熊田茜音・吉武千颯,キミとアイドルプリキュア♪ Light Up!,キュアアイドル（松岡美里）・キュアウインク（髙橋ミナミ）・キュアキュンキュン（高森奈津美）,Trio Dreams,キュアアイドル（松岡美里）,笑顔のユニゾン♪,,
,37487,1,西川貴教,Eden through the rough,CHiCO with HoneyWorks,冒険のVLOG,,,,
,37487,2,L'Arc〜en〜Ciel,FOREVER,さユり,世界の秘密,,,,
,37639,1,SawanoHiroyuki[nZk]:Rei,INERTIA,SennaRin,KONTINUUM,澤野弘之,JEOPARDY,,
,37652,1,伊東歌詞太郎,ひなたの国,,,,,,
,37683,1,伊東歌詞太郎,猫猫日和,,,,,,
,37715,1,aiko,skirt,aiko,カプセル,,,,
,37729,1,チト（水瀬いのり）、ユーリ（久保ユリカ）,動く、動く,チト（水瀬いのり）、ユーリ（久保ユリカ）,More One Night,チト（水瀬いのり）、ユーリ（久保ユリカ）,雨だれの歌,,
,37773,1,オルケリア（プリンセス・リップル×プリンセス・ジール×プリンセス・ミーティア）,ゼッタイ歌姫宣言ッ！,オルケリア（プリンセス・リップル×プリンセス・ジール×プリンセス・ミーティア）,君とつなぐオーケストラ,,,,
,29546,2,オーイシマサヨシ,ギャンブリングホール,えなこ×草野華余子,Tumbling Dice,,,,
,37850,1,IDOLiSH7,WiSH VOYAGE,TRIGGER,Heavenly Visitor,,,,
,37868,1,IDOLiSH7,DiSCOVER THE FUTURE,Re:vale,ミライノーツを奏でて,,,,
,29888,2,梅田サイファー,OOKAMI,osage,フラグメント,,,,
,38199,1,A応P,はなまるぴっぴはよいこだけ,イヤミ feat.おそ松×カラ松×チョロ松×一松×十四松×トド松,SIX SAME FACES 〜今夜は最高!!!!!!〜,,,,
,38199,2,A応P,全力バタンキュー,トト子 feat.おそ松×カラ松×チョロ松×一松×十四松×トド松,SIX SHAME FACES 〜今夜も最高!!!!!!〜,,,,
,38119,1,ONE N' ONLY,Step Up,上月せれな,WINNING ROAD,,,,
,38119,2,ATEEZ,Limitless,MONOLITH,FLY AGAIN,,,,
